eventID,gameID,visiting_team,home_team,inning,batting_team,outs,balls,strikes,pitch_sequence,visitor_score,home_score,batterID,batter_hand,pitcherID,pitcher_hand,catcherID,1bID,2bID,3bID,ssID,lfID,cfID,rfID,runner1b,runner2b,runner3b
0,BAL201208060,SEA,BAL,1,SEA,1,2,2,FBFBFS,0,0,ackld001,L,tillc001,R,wietm001,reynm001,quino001,andir001,hardj003,fordl001,jonea003,markn001,,,
1,BAL201208060,SEA,BAL,1,SEA,2,1,0,BX,0,0,saunm001,L,tillc001,R,wietm001,reynm001,quino001,andir001,hardj003,fordl001,jonea003,markn001,,,
2,BAL201208060,SEA,BAL,1,SEA,3,0,2,CCFX,0,0,montj003,R,tillc001,R,wietm001,reynm001,quino001,andir001,hardj003,fordl001,jonea003,markn001,,,
3,BAL201208060,SEA,BAL,1,BAL,0,0,1,CX,0,0,markn001,L,vargj001,L,jasoj001,carpm001,ackld001,seagk001,kawam001,wellc001,saunm001,thame001,markn001,,
4,BAL201208060,SEA,BAL,1,BAL,1,3,2,LBMBBS,0,0,andir001,R,vargj001,L,jasoj001,carpm001,ackld001,seagk001,kawam001,wellc001,saunm001,thame001,markn001,,
5,BAL201208060,SEA,BAL,1,BAL,2,1,0,BX,0,0,hardj003,R,vargj001,L,jasoj001,carpm001,ackld001,seagk001,kawam001,wellc001,saunm001,thame001,markn001,,
6,BAL201208060,SEA,BAL,1,BAL,2,1,2,S1SF>FBX,0,0,jonea003,R,vargj001,L,jasoj001,carpm001,ackld001,seagk001,kawam001,wellc001,saunm001,thame001,,jonea003,markn001
7,BAL201208060,SEA,BAL,1,BAL,3,1,0,BX,0,0,wietm001,B,vargj001,L,jasoj001,carpm001,ackld001,seagk001,kawam001,wellc001,saunm001,thame001,,jonea003,markn001
8,BAL201208060,SEA,BAL,2,SEA,1,0,0,X,0,0,jasoj001,L,tillc001,R,wietm001,reynm001,quino001,andir001,hardj003,fordl001,jonea003,markn001,,,
9,BAL201208060,SEA,BAL,2,SEA,2,2,2,BBCFC,0,0,seagk001,L,tillc001,R,wietm001,reynm001,quino001,andir001,hardj003,fordl001,jonea003,markn001,,,
10,BAL201208060,SEA,BAL,2,SEA,3,1,1,BSX,0,0,carpm001,L,tillc001,R,wietm001,reynm001,quino001,andir001,hardj003,fordl001,jonea003,markn001,,,
11,BAL201208060,SEA,BAL,2,BAL,1,3,2,CBBFBS,0,0,davic003,L,vargj001,L,jasoj001,carpm001,ackld001,seagk001,kawam001,wellc001,saunm001,thame001,,,
12,BAL201208060,SEA,BAL,2,BAL,1,1,2,CSBFX,0,0,fordl001,R,vargj001,L,jasoj001,carpm001,ackld001,seagk001,kawam001,wellc001,saunm001,thame001,fordl001,,
13,BAL201208060,SEA,BAL,2,BAL,1,1,1,BFX,0,1,reynm001,R,vargj001,L,jasoj001,carpm001,ackld001,seagk001,kawam001,wellc001,saunm001,thame001,,reynm001,
14,BAL201208060,SEA,BAL,2,BAL,2,0,1,CX,0,1,quino001,L,vargj001,L,jasoj001,carpm001,ackld001,seagk001,kawam001,wellc001,saunm001,thame001,,reynm001,
15,BAL201208060,SEA,BAL,2,BAL,2,1,2,BCFX,0,3,markn001,L,vargj001,L,jasoj001,carpm001,ackld001,seagk001,kawam001,wellc001,saunm001,thame001,,,
16,BAL201208060,SEA,BAL,2,BAL,3,2,2,BBCSX,0,3,andir001,R,vargj001,L,jasoj001,carpm001,ackld001,seagk001,kawam001,wellc001,saunm001,thame001,,,
17,BAL201208060,SEA,BAL,3,SEA,1,2,2,SBBFX,0,3,wellc001,R,tillc001,R,wietm001,reynm001,quino001,andir001,hardj003,fordl001,jonea003,markn001,,,
18,BAL201208060,SEA,BAL,3,SEA,2,1,0,BX,0,3,thame001,L,tillc001,R,wietm001,reynm001,quino001,andir001,hardj003,fordl001,jonea003,markn001,,,
19,BAL201208060,SEA,BAL,3,SEA,3,0,0,X,0,3,kawam001,L,tillc001,R,wietm001,reynm001,quino001,andir001,hardj003,fordl001,jonea003,markn001,,,
20,BAL201208060,SEA,BAL,3,BAL,1,1,2,CBSX,0,3,hardj003,R,vargj001,L,jasoj001,carpm001,ackld001,seagk001,kawam001,wellc001,saunm001,thame001,,,
21,BAL201208060,SEA,BAL,3,BAL,2,1,1,BSX,0,3,jonea003,R,vargj001,L,jasoj001,carpm001,ackld001,seagk001,kawam001,wellc001,saunm001,thame001,,,
22,BAL201208060,SEA,BAL,3,BAL,3,1,2,CBFFFFX,0,3,wietm001,B,vargj001,L,jasoj001,carpm001,ackld001,seagk001,kawam001,wellc001,saunm001,thame001,,,
23,BAL201208060,SEA,BAL,4,SEA,1,1,1,CBX,0,3,ackld001,L,tillc001,R,wietm001,reynm001,quino001,andir001,hardj003,fordl001,jonea003,markn001,,,
24,BAL201208060,SEA,BAL,4,SEA,1,3,2,BBCBCB,0,3,saunm001,L,tillc001,R,wietm001,reynm001,quino001,andir001,hardj003,fordl001,jonea003,markn001,saunm001,,
25,BAL201208060,SEA,BAL,4,SEA,2,2,2,*B1BFF1>FC,0,3,montj003,R,tillc001,R,wietm001,reynm001,quino001,andir001,hardj003,fordl001,jonea003,markn001,saunm001,,
26,BAL201208060,SEA,BAL,4,SEA,3,0,1,FX,0,3,jasoj001,L,tillc001,R,wietm001,reynm001,quino001,andir001,hardj003,fordl001,jonea003,markn001,saunm001,,
27,BAL201208060,SEA,BAL,4,BAL,1,1,1,CBX,0,3,davic003,L,vargj001,L,jasoj001,carpm001,ackld001,seagk001,kawam001,wellc001,saunm001,thame001,,,
28,BAL201208060,SEA,BAL,4,BAL,2,1,1,CBX,0,3,fordl001,R,vargj001,L,jasoj001,carpm001,ackld001,seagk001,kawam001,wellc001,saunm001,thame001,,,
29,BAL201208060,SEA,BAL,4,BAL,2,0,0,X,0,3,reynm001,R,vargj001,L,jasoj001,carpm001,ackld001,seagk001,kawam001,wellc001,saunm001,thame001,reynm001,,
30,BAL201208060,SEA,BAL,4,BAL,3,2,2,CCBBFX,0,3,quino001,L,vargj001,L,jasoj001,carpm001,ackld001,seagk001,kawam001,wellc001,saunm001,thame001,reynm001,,
31,BAL201208060,SEA,BAL,5,SEA,1,0,0,X,0,3,seagk001,L,tillc001,R,wietm001,reynm001,quino001,andir001,hardj003,fordl001,jonea003,markn001,,,
32,BAL201208060,SEA,BAL,5,SEA,1,0,1,CX,0,3,carpm001,L,tillc001,R,wietm001,reynm001,quino001,andir001,hardj003,fordl001,jonea003,markn001,carpm001,,
33,BAL201208060,SEA,BAL,5,SEA,2,2,2,FFFBBX,0,3,wellc001,R,tillc001,R,wietm001,reynm001,quino001,andir001,hardj003,fordl001,jonea003,markn001,carpm001,,
34,BAL201208060,SEA,BAL,5,SEA,3,2,2,BCCFB1FX,0,3,thame001,L,tillc001,R,wietm001,reynm001,quino001,andir001,hardj003,fordl001,jonea003,markn001,carpm001,,
35,BAL201208060,SEA,BAL,5,BAL,1,0,1,CX,0,3,markn001,L,vargj001,L,jasoj001,carpm001,ackld001,seagk001,kawam001,wellc001,saunm001,thame001,,,
